"","DS","groups"
"TNG71",7.83333333333333,"a"
"TNG71+bph2",7.66666666666667,"a"
"TNGSW2",7.5,"a"
"RATHU HEENATI",7,"ab"
"852T034",6.33333333333333,"abc"
"TNG71+Bph31(t)+BpH3",5,"abcd"
"TNG71+Bph31(t)+Bph12+bph2",4.33333333333333,"bcd"
"TNG71+Bph31(t)+BpH3+Bph15",3.66666666666667,"cd"
"TNG71+Bph31(t)+Bph12",3.25,"cd"
"TNG71+Bph31(t)+BpH3+Bph12+Bph15+bph2",2.5,"d"
