Filename,Seed,Area,PL,L,W,L/W,Circularity,Distance between IS and CG (DS)[mm]
T28 ,180,1298.719557,162.205927,53.473055,31.024106,1.723597,0.620286,5.310859
T80,137,1521.477421,175.411971,60.021853,34.895476,1.720047,0.621379,11.301874
T98,145,1791.744841,190.315424,67.73013,37.039426,1.828596,0.621639,13.757799
T17 ,127,1155.20977,152.511389,49.442651,35.973203,1.37443,0.624117,6.780236
T97,91,1478.637475,172.513498,65.488266,34.815762,1.880995,0.624346,3.733794
T57,156,1381.896488,166.605571,53.961182,35.668554,1.51285,0.625614,4.451434
T90,34,1655.15027,182.328805,64.988292,35.784123,1.816121,0.625658,10.252193
T90,20,904.315438,134.704761,47.845973,34.059225,1.404787,0.626273,12.586536
T59,157,1567.164179,176.876547,63.902756,33.845475,1.888074,0.629483,8.079226
T14 ,77,1636.949692,180.687826,62.669892,39.168683,1.6,0.630068,5.905605
T14 ,145,1641.5787,180.88572,58.507142,37.304319,1.568374,0.630468,5.824443
T96,37,1322.005527,162.316723,59.011051,31.460195,1.875737,0.630546,11.021106
T85,33,1365.661634,164.767342,57.663179,37.231832,1.54876,0.632136,10.643499
T14 ,28,1200.235797,154.369774,52.691053,36.628117,1.438541,0.632924,1.468753
T50,80,1514.329627,173.332918,60.654076,31.513949,1.924674,0.633386,7.25788
T66,123,1517.094017,172.793809,58.573097,34.246355,1.710345,0.638508,1.341671
T71,191,1538.316298,173.922714,61.535085,31.614018,1.946449,0.639062,2.779772
T55,128,1227.468145,155.235402,57.811982,34.19919,1.690449,0.640086,7.266518
T93,61,1748.940452,185.292415,63.910249,38.672518,1.652601,0.640132,3.010167
T85,26,1395.94238,165.537897,54.046374,37.48657,1.441753,0.640151,12.708616
T41 ,75,1606.278768,177.51105,63.506733,32.681779,1.943185,0.64059,14.650359
T82,133,1542.137943,173.730654,55.698394,36.436904,1.528626,0.642067,3.200548
T22 ,176,1294.705532,159.146235,56.788953,33.718575,1.684204,0.642374,1.447825
T14 ,174,1335.535105,161.621805,58.425707,31.74172,1.84066,0.642488,5.913384
T22 ,138,1498.750744,171.179916,56.73026,35.301034,1.607042,0.642738,15.856367
T42 ,33,1382.759934,164.292274,55.319998,32.675149,1.69303,0.643758,7.468834
T89,108,1289.479108,158.552569,54.714845,34.412853,1.589954,0.644581,12.399283
T59,116,1381.52521,163.982646,55.885508,32.56712,1.71601,0.645614,1.911863
T54,67,1527.027709,172.275315,62.123544,32.095665,1.935574,0.646563,11.871158
T28 ,68,1245.620106,155.515985,51.595641,30.183073,1.709423,0.64721,2.581382
T31 ,121,1413.161231,165.643207,59.059901,31.733737,1.861108,0.647224,1.267823
T49,68,1513.389656,171.353173,60.685262,33.463495,1.813477,0.647704,6.406651
T8,89,1323.724745,160.241855,55.723601,30.41591,1.832054,0.647822,1.773258
T77,129,1328.004535,160.465573,58.106947,34.192996,1.699382,0.648105,3.246562
T26 ,140,1214.734091,153.401704,54.349047,30.738543,1.768107,0.64868,6.133706
T26 ,111,1847.011878,189.071836,60.816863,37.449551,1.623968,0.649271,18.554444
T48,140,1280.071386,157.342096,51.966676,31.677284,1.640503,0.649762,1.228063
T55,81,1524.655547,171.716258,58.260463,33.153283,1.757306,0.649769,1.926725
T90,177,1449.267917,167.132804,57.860209,33.820821,1.710787,0.651981,5.909181
T92,45,1775.373731,184.953604,63.407776,34.50169,1.837817,0.65219,20.852621
T91,181,1541.939307,172.194235,61.164107,36.004247,1.698803,0.653491,6.962156
