Filename,Seed,Area,PL,L,W,L/W,Circularity,Distance between IS and CG (DS)[mm]
T30 ,14,13.080787,14.371534,5.216132,3.935435,1.325427,0.795862,0.401654
T31 ,29,12.446698,14.40295,5.193057,3.462038,1.5,0.753982,0.998665
T92,70,13.204759,14.478522,5.232463,4.538125,1.153001,0.791575,0.386696
T41 ,7,14.162634,14.572921,5.377302,4.609116,1.166667,0.838032,0.384093
T41 ,137,14.162634,14.572921,5.377302,4.609116,1.166667,0.838032,0.384093
T91,4,14.168685,14.632023,5.075554,4.366156,1.162476,0.831631,0.698517
T91,13,14.168685,14.632023,5.395388,4.679429,1.153001,0.831631,0
T44 ,13,13.156092,14.658882,5.235315,3.775239,1.38675,0.76937,0.436276
T30 ,118,14.12725,14.750527,5.50885,4.217804,1.306094,0.815929,0.688085
T31 ,219,14.521148,14.800676,5.103515,5.103515,1,0.833005,0.27805
T13 ,68,14.283825,14.826762,5.467195,4.364069,1.252775,0.81651,0.170705
T94,7,14.613668,14.860014,5.154639,4.434188,1.162476,0.831631,0.709401
T94,13,14.347965,14.860014,5.479457,4.373856,1.252775,0.81651,0.56024
T41 ,22,14.310162,14.891114,5.377302,5.00796,1.073751,0.810961,0.229544
T41 ,55,14.310162,14.891114,5.377302,5.00796,1.073751,0.810961,0.229544
T9 ,148,15.049938,15.080195,5.560646,4.822758,1.153001,0.831631,0
T45 ,141,15.567568,15.105349,5.918364,3.945576,1.5,0.857372,0.986394
T41 ,1,14.457689,15.209307,5.377302,5.377302,1,0.785398,0
T91,3,13.911072,15.226661,5.490051,3.660034,1.5,0.753982,1.055779
T91,6,13.911072,15.226661,5.490051,3.660034,1.5,0.753982,1.055779
T97,11,15.942183,15.287038,5.831809,4.373856,1.333333,0.857257,0.728976
T98,32,15.549102,15.331854,5.735614,4.673954,1.227144,0.831239,0.54604
T31 ,1,13.829665,15.363147,5.598861,3.462038,1.617215,0.736311,1.199756
T96,1,14.879371,15.463918,5.479457,4.752343,1.153001,0.781908,0.39139
T96,34,14.347965,15.463918,5.575595,3.717063,1.5,0.753982,1.07223
T43 ,43,15.533165,15.561116,5.623707,4.877451,1.153001,0.806099,0.09696
T91,2,15.714359,15.647134,5.787022,4.366156,1.325427,0.806561,0.423956
T41 ,21,16.228018,15.6593,5.431895,4.672693,1.162476,0.831631,0.747558
T92,1,14.537349,15.75132,5.740324,3.549512,1.617215,0.736311,1.23007
T9 ,102,16.828568,15.819973,5.560646,4.822758,1.153001,0.844978,0.520933
T9 ,129,16.828568,15.819973,5.918219,4.822758,1.227144,0.844978,0.198888
T10 ,8,16.688412,15.879876,5.508409,4.738512,1.162476,0.831631,0.183443
T96,5,16.473589,15.890942,5.831809,5.102832,1.142857,0.819783,0.194394
